Key,RunNum,LatAvg,LatStd,Jitter,NormJitter,ReordAvg,ReordStd,ReordEarliest,ReordLatest,NumOutOfOrder,OutOfOrder,NumReceived,NumLoss,Loss,PadAvg
1.0,1.0,3809965.396266666,425093.1754472725,233547.778726242,0.0292209756860867,0.0,0.0,0.0,0.0,0.0,0.0,1875.0,0.0,0.0,0.0
10.0,1.0,3330755.43648,190210.9767446994,127508.68222102926,0.1596509674699234,0.0,0.0,0.0,0.0,0.0,0.0,18750.0,0.0,0.0,0.0
50.0,1.0,3243632.7704106667,335317.29339454824,70353.10023654871,0.4420969829214545,0.0,0.0,0.0,0.0,0.0,0.0,93750.0,0.0,0.0,0.0
66.0,1.0,3280238.613554061,491412.7640096062,60660.441662909856,0.5037306107607505,0.0,0.0,0.0,0.0,0.0,0.0,123712.0,38.0,0.0003070707070707,0.0
75.0,1.0,3267335.27532377,257003.6374273824,64632.381831083,0.6105160576997416,0.0,0.0,0.0,0.0,0.0,0.0,140609.0,16.0,0.0001137777777777,0.0
80.0,1.0,3292731.0658855243,509997.46972236,64424.31968590636,0.6489864751243859,0.0,0.0,0.0,0.0,0.0,0.0,149866.0,134.0,0.0008933333333333,0.0
90.0,1.0,3268102.059818316,380265.1478470553,55631.05362580018,0.6312018323714671,0.0,0.0,0.0,0.0,0.0,0.0,168644.0,106.0,0.0006281481481481,0.0
100.0,1.0,3326079.474234503,506972.2446831321,60436.70266466737,0.7631789900762178,0.0,0.0,0.0,0.0,0.0,0.0,187460.0,40.0,0.0002133333333333,0.0
1.0,2.0,3853916.909333333,677701.261791781,293430.82453366806,0.036711347467352,0.0,0.0,0.0,0.0,0.0,0.0,1875.0,0.0,0.0,0.0
10.0,2.0,3371073.7179733333,340601.0090541808,132327.37713316726,0.165691647092727,0.0,0.0,0.0,0.0,0.0,0.0,18750.0,0.0,0.0,0.0
50.0,2.0,3276008.486816,260086.773159967,70511.68294821058,0.4431658793608742,0.0,0.0,0.0,0.0,0.0,0.0,93750.0,0.0,0.0,0.0
66.0,2.0,3362867.112638384,1248654.704578502,60680.72543732188,0.5040762760704117,0.0,0.0,0.0,0.0,0.0,0.0,123750.0,0.0,0.0,0.0
