Key,RunNum,LatAvg,LatStd,Jitter,NormJitter,ReordAvg,ReordStd,ReordEarliest,ReordLatest,NumOutOfOrder,OutOfOrder,NumReceived,NumLoss,Loss,PadAvg
1.0,1.0,124379311.16544344,7191817.652756216,126854.55771374571,1.0571526205563515,0.0,0.0,0.0,0.0,0.0,0.0,124943.0,6307.0,0.0480533333333333,558.0562326547264
1.0,2.0,124382195.09508616,7097013.489393906,125550.302788778,1.0467307961956065,1.5992963096237657e-05,0.0039991043006879,1.0,0.0,1.0,7.996481548118829e-06,125055.0,6195.0,0.0472,554.0907858546876
1.0,3.0,124382707.68310969,7061447.26415701,125432.86281214538,1.0459870562005529,0.0,0.0,0.0,0.0,0.0,0.0,124977.0,6273.0,0.0477942857142857,552.4288899339642
1.0,4.0,124405584.92424873,7100411.1733195735,125964.33476944194,1.050127154803769,8.000768073735079e-06,0.002828562899024,1.0,0.0,1.0,8.000768073735079e-06,124988.0,6262.0,0.0477104761904761,551.4557592102766
1.0,5.0,124433600.33819056,7231492.957372365,126916.71423479712,1.0576854177482324,0.0,0.0,0.0,0.0,0.0,0.0,124900.0,6350.0,0.0483809523809523,550.8187443673137
1.0,6.0,124412714.9087359,7330715.577544333,126203.95005182632,1.0516894785683162,0.0,0.0,0.0,0.0,0.0,0.0,124967.0,6283.0,0.0478704761904761,550.374046086337
1.0,7.0,124490767.72440287,7246183.259526519,125866.87672667472,1.048793306074251,0.0,0.0,0.0,0.0,0.0,0.0,124936.0,6314.0,0.0481066666666666,550.0326042544779
1.0,8.0,124540634.69457915,7268323.012894578,125709.32635384527,1.047605624858596,0.0,0.0,0.0,0.0,0.0,0.0,124962.0,6288.0,0.0479085714285714,549.7695972221823
1.0,9.0,124586547.4122458,7230115.659371719,126089.7730778132,1.0507825329708536,0.0,0.0,0.0,0.0,0.0,0.0,124957.0,6293.0,0.0479466666666666,549.553854713968
1.0,10.0,124605939.64648063,7286154.50414187,126072.3857662825,1.0506128095418197,0.0,0.0,0.0,0.0,0.0,0.0,124938.0,6312.0,0.0480914285714285,549.3760064890556
2.0,1.0,238412907.26867923,28702183.60060363,124935.1091399222,1.041139797894111,0.0470692858617458,0.2117879230250548,1.0,0.0,5928.0,0.0470692858617458,125942.0,5308.0,0.0404419047619047,558.0562326547264
2.0,2.0,235787748.744012,32544252.026887387,126751.9598279014,1.056522144584507,0.0415516639700517,0.1995631204799837,1.0,0.0,5239.0,0.0415516639700517,126084.0,5166.0,0.03936,554.0907858546876
2.0,3.0,237584864.73097864,29966252.968862675,125191.47975035454,1.0432734093911942,0.0456861655686959,0.2088044202067301,1.0,0.0,5756.0,0.0456861655686959,125990.0,5260.0,0.0400761904761904,552.4288899339642
