Key,RunNum,LatAvg,LatStd,Jitter,NormJitter,ReordAvg,ReordStd,ReordEarliest,ReordLatest,NumOutOfOrder,OutOfOrder,NumReceived,NumLoss,Loss,PadAvg
1.0,1.0,2334625.206933333,162489.89480455834,177992.81409081642,0.0222693818921063,0.0,0.0,0.0,0.0,0.0,0.0,1875.0,0.0,0.0,0.0
10.0,1.0,2016553.1071466664,155206.61782591286,134045.71731080374,0.16781077159868,0.0,0.0,0.0,0.0,0.0,0.0,18750.0,0.0,0.0,0.0
50.0,1.0,2026053.8662933328,157201.30558387688,106291.57295320852,0.6679505998301658,0.0,0.0,0.0,0.0,0.0,0.0,93750.0,0.0,0.0,0.0
66.0,1.0,2088433.7955636363,137074.19682075427,103761.90903881524,0.8617881467266117,0.0,0.0,0.0,0.0,0.0,0.0,123750.0,0.0,0.0,0.0
75.0,1.0,2090633.1279217773,163851.61885554474,97041.253742039,0.9169691562804094,0.0,0.0,0.0,0.0,0.0,0.0,140625.0,0.0,0.0,0.0
80.0,1.0,2083016.4972064805,158659.05094652748,90304.06647645425,0.9106531044610116,0.0,0.0,0.0,0.0,0.0,0.0,149990.0,10.0,6.666666666666667e-05,0.0
90.0,1.0,2069257.689025185,146139.75395418287,83218.79848932696,0.9451399490373468,0.0,0.0,0.0,0.0,0.0,0.0,168750.0,0.0,0.0,0.0
100.0,1.0,2080444.5960426664,191910.2162333089,75046.24753434875,0.9475137437925092,0.0,0.0,0.0,0.0,0.0,0.0,187500.0,0.0,0.0,0.0
1.0,2.0,2323066.4986666664,186197.2995011679,172935.92597460726,0.0216352325797164,0.0,0.0,0.0,0.0,0.0,0.0,1875.0,0.0,0.0,0.0
10.0,2.0,2013778.2714133328,237869.3730959456,138320.92852244666,0.1731907889718902,0.0,0.0,0.0,0.0,0.0,0.0,18750.0,0.0,0.0,0.0
50.0,2.0,2003735.591936,118721.74447090284,105334.51118626213,0.6619445761678467,0.0,0.0,0.0,0.0,0.0,0.0,93750.0,0.0,0.0,0.0
66.0,2.0,2060655.193713132,206813.00096808004,105010.77738213092,0.872390418024879,0.0,0.0,0.0,0.0,0.0,0.0,123750.0,0.0,0.0,0.0
75.0,2.0,2058238.456455111,127835.99576005591,97444.72853291933,0.9205834018982488,0.0,0.0,0.0,0.0,0.0,0.0,140625.0,0.0,0.0,0.0
80.0,2.0,2065928.78742,161805.32608909492,91662.02633967812,0.9243388713972824,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,0.0,0.0,0.0
90.0,2.0,2071152.7783940744,157794.1225134942,82172.88731033377,0.9331785740131728,0.0,0.0,0.0,0.0,0.0,0.0,168750.0,0.0,0.0,0.0
100.0,2.0,2093457.4732889573,225385.8833767444,76163.23941070006,0.9616473390619412,0.0,0.0,0.0,0.0,0.0,0.0,187488.0,12.0,6.4e-05,0.0
1.0,3.0,2316859.5770666664,305734.46287692565,165230.03583270026,0.0206707099872468,0.0,0.0,0.0,0.0,0.0,0.0,1875.0,0.0,0.0,0.0
10.0,3.0,2042697.344,248315.12129653725,137995.98849829743,0.1727923051377095,0.0,0.0,0.0,0.0,0.0,0.0,18750.0,0.0,0.0,0.0
50.0,3.0,2028358.5191253333,135742.22662495088,105933.64918649342,0.6657248749701212,0.0,0.0,0.0,0.0,0.0,0.0,93750.0,0.0,0.0,0.0
66.0,3.0,2082661.038060606,159236.6378890288,105082.17012375164,0.8729991630471753,0.0,0.0,0.0,0.0,0.0,0.0,123750.0,0.0,0.0,0.0
75.0,3.0,2086937.059384889,150500.20672484112,98059.85009959714,0.9265487994367136,0.0,0.0,0.0,0.0,0.0,0.0,140625.0,0.0,0.0,0.0
80.0,3.0,2082354.3552066667,126268.20195915816,91385.44932029,0.9214633830376372,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,0.0,0.0,0.0
90.0,3.0,2094422.962743704,157761.69437210498,82556.2597715481,0.9374744984431232,0.0,0.0,0.0,0.0,0.0,0.0,168750.0,0.0,0.0,0.0
100.0,3.0,2117636.0545226666,166363.7293256549,76103.05567442559,0.9609167085109102,0.0,0.0,0.0,0.0,0.0,0.0,187500.0,0.0,0.0,0.0
1.0,4.0,2409003.9589333334,182889.13398309177,194345.02195009167,0.0243162031640266,0.0,0.0,0.0,0.0,0.0,0.0,1875.0,0.0,0.0,0.0
10.0,4.0,2045270.5159466667,141855.95754520077,130517.94193110603,0.1634153681757933,0.0,0.0,0.0,0.0,0.0,0.0,18750.0,0.0,0.0,0.0
50.0,4.0,2059915.233866667,228079.15574799385,107930.79643446916,0.6782088027968275,0.0,0.0,0.0,0.0,0.0,0.0,93750.0,0.0,0.0,0.0
66.0,4.0,2111331.554432323,163059.90035929315,104347.96677220616,0.8669642338095761,0.0,0.0,0.0,0.0,0.0,0.0,123750.0,0.0,0.0,0.0
75.0,4.0,2109725.8919893336,128188.26761653328,96810.65877630108,0.914705600001106,0.0,0.0,0.0,0.0,0.0,0.0,140625.0,0.0,0.0,0.0
80.0,4.0,2115261.79754,130717.87605756502,91298.53645233864,0.920496059271644,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,0.0,0.0,0.0
90.0,4.0,2135944.699706658,182804.5971203416,82764.84526642913,0.9399294840149806,1.7778304542356812e-05,0.0042164076924596,1.0,0.0,1.0,5.926101514118937e-06,168745.0,5.0,2.962962962962963e-05,0.0
100.0,4.0,2133554.277664,143157.40318732444,75959.88229712263,0.9592913051849556,0.0,0.0,0.0,0.0,0.0,0.0,187500.0,0.0,0.0,0.0
1.0,5.0,2449567.4330666666,174794.1955627387,186057.8370489163,0.0232793183411347,0.0,0.0,0.0,0.0,0.0,0.0,1875.0,0.0,0.0,0.0
10.0,5.0,2067706.6923733333,292599.2366141412,138484.2787314351,0.1734046395390769,0.0,0.0,0.0,0.0,0.0,0.0,18750.0,0.0,0.0,0.0
50.0,5.0,2056430.2726613327,243409.9087987025,105670.38650797486,0.6640596219321662,0.0,0.0,0.0,0.0,0.0,0.0,93750.0,0.0,0.0,0.0
66.0,5.0,2098556.6168161617,187945.3870609993,103518.84262535906,0.8599464352160656,0.0,0.0,0.0,0.0,0.0,0.0,123750.0,0.0,0.0,0.0
75.0,5.0,2097773.144881778,153934.04829406488,94864.70530771704,0.8964618248312185,0.0,0.0,0.0,0.0,0.0,0.0,140625.0,0.0,0.0,0.0
80.0,5.0,2084726.64172,186188.8328017232,91795.8707739738,0.9255276566263414,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,0.0,0.0,0.0
90.0,5.0,2079809.868847408,162164.40444939444,83023.21062014865,0.9429590750201255,0.0,0.0,0.0,0.0,0.0,0.0,168750.0,0.0,0.0,0.0
100.0,5.0,2084134.3716533333,144006.61983839684,75529.09282463374,0.954405813276148,0.0,0.0,0.0,0.0,0.0,0.0,187500.0,0.0,0.0,0.0
1.0,6.0,2305229.675733333,151481.28422802902,169336.7902579704,0.0211845265253388,0.0,0.0,0.0,0.0,0.0,0.0,1875.0,0.0,0.0,0.0
10.0,6.0,1998126.6200533328,151051.85459395265,131651.73952481407,0.1648585270370632,0.0,0.0,0.0,0.0,0.0,0.0,18750.0,0.0,0.0,0.0
50.0,6.0,1985276.689824,114621.90370061278,105100.64397696537,0.6604730599908117,0.0,0.0,0.0,0.0,0.0,0.0,93750.0,0.0,0.0,0.0
66.0,6.0,2041214.999951515,133944.29170701723,105661.98922728414,0.8779249399292238,0.0,0.0,0.0,0.0,0.0,0.0,123750.0,0.0,0.0,0.0
75.0,6.0,2035496.677482667,132057.04487859234,97770.01832862812,0.9237735744846884,1.4222222222222222e-05,0.0037712227573693,1.0,0.0,1.0,7.111111111111111e-06,140625.0,0.0,0.0,0.0
80.0,6.0,2029855.01112,155826.62867588506,91742.99888006064,0.9250213300223116,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,0.0,0.0,0.0
90.0,6.0,2025508.557783704,157305.65182319732,83329.07008248013,0.9461266085644388,0.0,0.0,0.0,0.0,0.0,0.0,168750.0,0.0,0.0,0.0
100.0,6.0,2048274.9928106663,177897.30788211434,76230.8488511528,0.9625238019189158,0.0,0.0,0.0,0.0,0.0,0.0,187500.0,0.0,0.0,0.0
1.0,7.0,2305190.426133333,161744.8672411534,175985.0192478322,0.0220180573030205,0.0,0.0,0.0,0.0,0.0,0.0,1875.0,0.0,0.0,0.0
10.0,7.0,1967484.19504,149645.75732745737,139059.0346519962,0.174113004556957,0.0,0.0,0.0,0.0,0.0,0.0,18750.0,0.0,0.0,0.0
50.0,7.0,1977737.920885333,136679.03409045376,105741.5023164544,0.6645109623075035,0.0,0.0,0.0,0.0,0.0,0.0,93750.0,0.0,0.0,0.0
66.0,7.0,2034123.6555931768,200508.3318421312,105851.93488585913,0.8792593042560524,0.0,0.0,0.0,0.0,0.0,0.0,123749.0,1.0,8.08080808080808e-06,0.0
75.0,7.0,2041542.3753813333,150801.77246673554,96586.5137764568,0.912554063200609,0.0,0.0,0.0,0.0,0.0,0.0,140625.0,0.0,0.0,0.0
80.0,7.0,2037043.4884666668,136095.27671934158,91003.03567301232,0.917558595788544,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,0.0,0.0,0.0
90.0,7.0,2048023.7986844445,150040.13883680073,80789.98271081953,0.9175525209649288,0.0,0.0,0.0,0.0,0.0,0.0,168750.0,0.0,0.0,0.0
100.0,7.0,2062115.9204853333,143760.7791408814,75577.10163104821,0.9542063684598564,0.0,0.0,0.0,0.0,0.0,0.0,187500.0,0.0,0.0,0.0
1.0,8.0,2287921.728533333,160072.33662574706,184536.4507915428,0.023086187019476,0.0,0.0,0.0,0.0,0.0,0.0,1875.0,0.0,0.0,0.0
10.0,8.0,1991298.76432,259731.4655382728,140189.46452101142,0.1755343938524933,0.0,0.0,0.0,0.0,0.0,0.0,18750.0,0.0,0.0,0.0
50.0,8.0,2011677.97088,186342.18604004287,107369.9165837771,0.674966163740619,0.0,0.0,0.0,0.0,0.0,0.0,93750.0,0.0,0.0,0.0
66.0,8.0,2069338.725325877,162697.12823471244,104919.19755533311,0.871594483827247,0.0,0.0,0.0,0.0,0.0,0.0,123743.0,7.0,5.656565656565656e-05,0.0
75.0,8.0,2082150.7358862225,189535.41647713693,97170.58614549288,0.9181626699959086,0.0,0.0,0.0,0.0,0.0,0.0,140625.0,0.0,0.0,0.0
80.0,8.0,2084507.9391666667,124883.53454808737,91367.44206347084,0.9212397099184572,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,0.0,0.0,0.0
90.0,8.0,2108084.588728889,167905.0102617147,82467.51400217082,0.936328457446298,0.0,0.0,0.0,0.0,0.0,0.0,168750.0,0.0,0.0,0.0
100.0,8.0,2127153.311573333,194735.4675302113,75863.24901760196,0.9580210646366442,0.0,0.0,0.0,0.0,0.0,0.0,187500.0,0.0,0.0,0.0
1.0,9.0,2435711.3888,144859.4429769421,158152.9292344035,0.0197855674737719,0.0,0.0,0.0,0.0,0.0,0.0,1875.0,0.0,0.0,0.0
10.0,9.0,2109243.736533333,432629.71875131456,140608.716062315,0.176072104412283,0.0,0.0,0.0,0.0,0.0,0.0,18750.0,0.0,0.0,0.0
50.0,9.0,2087807.8037866664,177056.22987207587,106441.78931951975,0.6688582664396591,0.0,0.0,0.0,0.0,0.0,0.0,93750.0,0.0,0.0,0.0
