Key,RunNum,LatAvg,LatStd,Jitter,NormJitter,ReordAvg,ReordStd,ReordEarliest,ReordLatest,NumOutOfOrder,OutOfOrder,NumReceived,NumLoss,Loss,PadAvg
1.0,1.0,7300117.278350515,3268009.3233077554,1810403.021236688,0.1875327288785535,0.0,0.0,0.0,0.0,0.0,0.0,1552.0,58.0,0.0360248447204968,0.0
1.0,2.0,7308602.256410256,3560109.709044309,1768277.1249197177,0.1841083361743484,0.0,0.0,0.0,0.0,0.0,0.0,1560.0,50.0,0.031055900621118,0.0
1.0,3.0,7489847.974276528,3956751.344040099,1782554.3395298223,0.1850037155590039,0.0,0.0,0.0,0.0,0.0,0.0,1555.0,55.0,0.0341614906832298,0.0
1.0,4.0,7306316.914067473,3489243.646091457,1566374.2818759384,0.1642381738831884,0.0,0.0,0.0,0.0,0.0,0.0,1571.0,39.0,0.024223602484472,0.0
1.0,5.0,7321613.646756583,3513644.803667577,1686170.4536217712,0.1751785243741729,0.0,0.0,0.0,0.0,0.0,0.0,1557.0,53.0,0.032919254658385,0.0
1.0,6.0,7258079.340206185,3259758.599967768,1728506.0188734548,0.1790627485321352,0.0,0.0,0.0,0.0,0.0,0.0,1552.0,58.0,0.0360248447204968,0.0
1.0,7.0,7364857.0,3408548.486682737,1985535.488677864,0.2035458438894818,0.0,0.0,0.0,0.0,0.0,0.0,1536.0,74.0,0.0459627329192546,0.0
1.0,8.0,7371883.440414508,3543517.91318614,1768844.3267204263,0.1822813351412799,0.0,0.0,0.0,0.0,0.0,0.0,1544.0,66.0,0.0409937888198757,0.0
1.0,9.0,7803358.29361422,4390516.051817559,2287784.9943133,0.2319347716323032,0.0,0.0,0.0,0.0,0.0,0.0,1519.0,91.0,0.0565217391304347,0.0
1.0,10.0,7061480.787138264,2900841.401536137,1526261.908856457,0.1584016554518034,0.0,0.0,0.0,0.0,0.0,0.0,1555.0,55.0,0.0341614906832298,0.0
