Key,RunNum,LatAvg,LatStd,Jitter,NormJitter,ReordAvg,ReordStd,ReordEarliest,ReordLatest,NumOutOfOrder,OutOfOrder,NumReceived,NumLoss,Loss,PadAvg
1.0,1.0,7846913.359362799,933785.3044694284,238350.49514400223,0.1017705786260348,0.0001561767921286,0.012497071342066,1.0,0.0,0.0,0.0,6403.0,62.0,0.0095901005413766,0.0
1.0,2.0,7807303.288114499,695285.0464296228,230880.0781260421,0.0989926559500485,0.0001555693839452,0.0124727456458167,1.0,0.0,0.0,0.0,6428.0,37.0,0.0057231245166279,0.0
1.0,3.0,7787751.047648611,659894.5256982581,213334.0645308685,0.0916566069242464,0.0003104144032283,0.0176172136616045,1.0,0.0,0.0,0.0,6443.0,22.0,0.0034029389017788,0.0
1.0,4.0,7928511.105387152,1244487.0872332589,291428.5343763389,0.123731031531663,0.0,0.0,0.0,0.0,0.0,0.0,6367.0,98.0,0.0151585460170146,0.0
1.0,5.0,7780857.363551692,633690.1231689118,200733.91722031083,0.086229209265181,0.0001552312946289,0.0124591851510842,1.0,0.0,0.0,0.0,6442.0,23.0,0.0035576179427687,0.0
1.0,6.0,7896519.72171733,1230039.169386595,285787.8872760309,0.1216221522884707,0.0001566906925728,0.0125176152909754,1.0,0.0,0.0,0.0,6382.0,83.0,0.0128383604021655,0.0
1.0,7.0,7845063.111111111,898924.8088371308,244273.5822552589,0.1042703827999887,0.0003125488357555,0.0176776690978775,1.0,0.0,0.0,0.0,6399.0,66.0,0.0102088167053364,0.0
1.0,8.0,8088466.886584782,1968672.873893412,402791.2637984736,0.1683766874619189,0.0014356356675705,0.0378655956119177,1.0,0.0,0.0,0.0,6269.0,196.0,0.0303170920340293,0.0
1.0,9.0,7826112.34939947,865378.7509080317,242474.76296475137,0.1036608808030607,0.0003119638121977,0.0176611195538773,1.0,0.0,0.0,0.0,6411.0,54.0,0.008352668213457,0.0
1.0,10.0,7813551.448103636,871726.1629797762,229971.15818227315,0.0982516751946619,0.0001560792882784,0.0124931696649987,1.0,0.0,0.0,0.0,6407.0,58.0,0.0089713843774168,0.0
1.0,11.0,7896844.297293069,1160503.6645365434,263904.93442835414,0.1124653613001143,0.0,0.0,0.0,0.0,0.0,0.0,6391.0,74.0,0.0114462490332559,0.0
1.0,12.0,7894734.5152563695,1367824.530807812,279295.1832904581,0.1184115231621308,0.0001572821642025,0.0125412186091535,1.0,0.0,0.0,0.0,6358.0,107.0,0.0165506573859242,0.0
1.0,13.0,7800090.141967622,720860.2734909802,222208.54001324307,0.0951875927312787,0.0,0.0,0.0,0.0,0.0,0.0,6424.0,41.0,0.0063418406805877,0.0
1.0,14.0,7791250.359515678,640233.703345793,213034.61588159285,0.0915130997273379,0.0001552312946289,0.0124591851510842,1.0,0.0,0.0,0.0,6442.0,23.0,0.0035576179427687,0.0
1.0,15.0,7823454.907900888,882401.6530235974,236409.9055818605,0.1011619565775228,0.0,0.0,0.0,0.0,0.0,0.0,6417.0,48.0,0.0074245939675174,0.0
1.0,16.0,7822714.95025729,838099.5191814695,237771.29745225827,0.1016806292832356,0.0001559332605644,0.0124873239953353,1.0,0.0,0.0,0.0,6413.0,52.0,0.0080433101314771,0.0
1.0,17.0,7943283.062972292,1525084.6708898372,300861.2349932259,0.127434770600417,0.0004722921914357,0.0217288624049142,1.0,0.0,0.0,0.0,6352.0,113.0,0.0174787316318638,0.0
1.0,18.0,7836625.476309227,889853.161034207,224491.7192222778,0.0960453755984384,0.0004675810473815,0.0279142358071094,2.0,0.0,0.0,0.0,6416.0,49.0,0.0075792730085073,0.0
1.0,19.0,7958851.514712824,1415154.5707438802,319840.5988432557,0.1355374409596766,0.0001573564122738,0.0125441784216344,1.0,0.0,0.0,0.0,6355.0,110.0,0.017014694508894,0.0
1.0,20.0,7820469.341642001,819141.6356651253,231860.29463487945,0.0992456416418349,0.0,0.0,0.0,0.0,0.0,0.0,6419.0,46.0,0.0071152358855375,0.0
1.0,21.0,7936888.506043008,1366598.7374827731,296370.0582268729,0.1259081089149587,0.0,0.0,0.0,0.0,0.0,0.0,6371.0,94.0,0.0145398298530549,0.0
1.0,22.0,7862363.388558925,969622.2615824124,257474.8178059177,0.1098476465021863,0.0,0.0,0.0,0.0,0.0,0.0,6398.0,67.0,0.0103634957463263,0.0
1.0,23.0,7888823.852361589,1227422.4208737195,264746.9811239412,0.1128797142484233,0.0,0.0,0.0,0.0,0.0,0.0,6394.0,71.0,0.0109822119102861,0.0
1.0,24.0,7861435.765293383,1005391.4398902804,262502.53055752075,0.1121693940150786,0.0010923845193508,0.0544455047465106,4.0,0.0,0.0,0.0,6408.0,57.0,0.0088167053364269,0.0
1.0,25.0,7861216.0,1070428.169504769,272282.33027323603,0.1156201583505582,0.0007851758793969,0.0626568383896356,5.0,0.0,0.0,0.0,6368.0,97.0,0.0150038669760247,0.0
1.0,26.0,7813016.841777085,784125.8946017057,229139.50345289457,0.0980201100547103,0.0,0.0,0.0,0.0,0.0,0.0,6415.0,50.0,0.0077339520494972,0.0
1.0,27.0,7855339.919210897,1076312.5594873414,256942.4297058365,0.1094321811392484,0.0,0.0,0.0,0.0,0.0,0.0,6387.0,78.0,0.0120649651972157,0.0
1.0,28.0,7879236.867605634,1230968.6750345642,263958.46869236266,0.1124720929699919,0.0,0.0,0.0,0.0,0.0,0.0,6390.0,75.0,0.0116009280742459,0.0
1.0,29.0,7814852.579962663,805240.4997353727,203761.29048596884,0.0873404338118788,0.0001555693839452,0.0124727456458167,1.0,0.0,0.0,0.0,6428.0,37.0,0.0057231245166279,0.0
1.0,30.0,7818994.280729085,793570.782071954,213267.6919207344,0.0912870146054693,0.000155787505842,0.0124814865237291,1.0,0.0,0.0,0.0,6419.0,46.0,0.0071152358855375,0.0
3.75,1.0,7957547.744937238,1227111.1886626526,193102.20943069027,0.3076930516208539,0.0029707112970711,0.1550830699597409,17.0,0.0,0.0,0.0,23900.0,345.0,0.0142297380903279,0.0
3.75,2.0,7867143.082457525,960897.9829959156,175304.73394737343,0.281373768462585,0.0018693141694014,0.0775893123980605,5.0,0.0,0.0,0.0,24073.0,172.0,0.0070942462363373,0.0
