Key,RunNum,LatAvg,LatStd,Jitter,NormJitter,ReordAvg,ReordStd,ReordEarliest,ReordLatest,NumOutOfOrder,OutOfOrder,NumReceived,NumLoss,Loss,PadAvg
15.0,20.0,5256953.30398384,2896190.937702581,66615.11838979815,0.4265100437399513,0.8181761386117995,5.217823661731826,81.0,0.0,13844.0,0.1441512734542576,96038.0,944.0,0.009733765028562,0.0
15.0,21.0,5168060.915308084,2947533.3166730106,58468.63707968191,0.3729874231169343,0.7235912549117967,4.893855158761316,80.0,0.0,12747.0,0.1332141961374467,95688.0,1294.0,0.033426821472025,0.0
1.0,1.0,3204123.1575663025,1207884.4564894692,168147.33606344086,0.0719138230513066,0.0,0.0,0.0,0.0,0.0,0.0,1282.0,11.0,0.008507347254447,0.0
10.0,1.0,3040773.5912636505,62090.559568453486,63653.459026753226,0.2746721268278526,0.0015600624024961,0.0394668038710562,1.0,0.0,2.0,0.0015600624024961,1283.0,10.0,0.0077339520494972,0.0
15.0,1.0,4616928.877956481,2482070.0637647617,42859.75226099506,0.2771287806916936,0.6590980763166193,4.604725401666966,78.0,0.0,1539.0,0.1213339640491958,12684.0,247.0,0.09101384270358,0.0
20.0,1.0,28986463.25519117,20356710.6397328,63350.81378394735,0.5337833557993369,55.677667364016735,105.63405119961038,506.0,0.0,12786.0,0.6687238493723849,19120.0,276.0,0.042297380903279,0.0
25.0,1.0,69139723.68591554,49861717.04641753,79229.19094275715,0.8035518629099616,204.7585863811836,311.3280852188534,1148.0,0.0,20257.0,0.8061845823218052,25128.0,734.0,0.0283814090170907,0.0
30.0,1.0,84399541.33080594,57837695.56650773,66478.8347830278,0.7370871933027635,295.6235106959112,431.2095114148574,1391.0,0.0,24900.0,0.8428107229894395,29544.0,2783.0,0.0860890277477031,0.0
40.0,1.0,97912324.77069372,57626632.04512749,69307.64314139631,0.8982408953792675,376.1754044481317,552.9088390852136,2351.0,0.0,26784.0,0.8546539455630364,31339.0,7454.0,0.1921480679504034,0.0
50.0,1.0,107141033.09296957,55686649.26650109,71633.22980186279,1.074279394467759,433.13357467012935,742.260344402474,3282.0,0.0,29682.0,0.7786259541984732,38122.0,13602.0,0.2629727012605367,0.0
100.0,1.0,122308971.04057786,52588103.90122735,68290.56086056553,1.1115810671002282,578.3942958812438,1064.6034846771154,4901.0,0.0,26781.0,0.7111825158669038,37658.0,26997.0,0.4175547134792359,0.0
1.0,2.0,3408191.742459397,1463011.0422261471,329724.2691054261,0.1422387241290509,0.0,0.0,0.0,0.0,0.0,0.0,1293.0,0.0,0.0,0.0
10.0,2.0,3095628.1747873165,172099.64541628826,74221.09186084406,0.3203841434517624,0.0,0.0,0.0,0.0,0.0,0.0,1293.0,0.0,0.0,0.0
15.0,2.0,5033583.436935534,2721591.724724975,68102.23790354533,0.4371746236266973,0.6696769170883612,4.538044988425453,78.0,0.0,1695.0,0.1319579602958349,12845.0,86.0,0.006650684401825,0.0
20.0,2.0,29085243.517574374,20286821.25473221,76346.04380411681,0.6459562968271112,55.962566844919785,105.2403599296258,506.0,0.0,12951.0,0.6723949950677535,19262.0,134.0,0.0069086409568983,0.0
25.0,2.0,68805087.18710245,49807360.34260579,72925.61899524023,0.7366161995807196,204.41789014681763,312.3708189209472,1148.0,0.0,20065.0,0.802696323558827,24997.0,865.0,0.0334467558580156,0.0
30.0,2.0,84497320.27216074,57863638.727731824,81149.85721583496,0.89322253707293,294.5936116597426,431.0772784098357,1418.0,0.0,24882.0,0.8473064087720493,29366.0,2961.0,0.0915952609273981,0.0
40.0,2.0,96415508.06745276,57254426.87646998,65747.39258850073,0.857880876536472,379.9548004691116,550.0650842673333,2196.0,0.0,27020.0,0.856445529176836,31550.0,7243.0,0.1867089423349573,0.0
50.0,2.0,106509379.33095488,55169050.536679104,63727.79158816969,0.9557059145465784,430.9125678759739,734.4721441088815,2921.0,0.0,29601.0,0.7765011411033289,38121.0,13603.0,0.2629920346454257,0.0
100.0,2.0,112854145.53474404,54574445.28422233,60109.35500360178,0.9287728946769268,483.5528656579551,861.1181656822301,4028.0,0.0,32490.0,0.7448418156808804,43620.0,21035.0,0.3253422009125357,0.0
1.0,3.0,3205729.571317225,913944.427237238,206370.8793616643,0.0883305629533544,0.0,0.0,0.0,0.0,0.0,0.0,1283.0,10.0,0.0077339520494972,0.0
10.0,3.0,3490801.2,1929505.4567719968,80089.1668310547,0.3562307884892429,0.0,0.0,0.0,0.0,0.0,0.0,1281.0,12.0,0.0092807424593967,0.0
15.0,3.0,4820203.425533579,2707993.7546149613,54682.51033112153,0.3495536337570203,0.6588492808005003,4.568001973987459,78.0,0.0,1632.0,0.1275797373358349,12792.0,139.0,0.007493619982986,0.0
20.0,3.0,29239845.789823245,20482188.63061493,86171.90651039149,0.7090409362442321,55.728616571153125,105.28874774505998,506.0,0.0,12584.0,0.6739863960152107,18671.0,725.0,0.0373788409981439,0.0
25.0,3.0,68651678.99606836,49692253.41043709,66429.8792020016,0.6728908698297235,205.0414426703041,311.6357485483941,1148.0,0.0,20068.0,0.8051031051913664,24927.0,935.0,0.0361534297424793,0.0
30.0,3.0,83896821.56566373,57819806.77043864,64543.95276169944,0.7163927448955987,294.21594516107245,429.9690629150144,1390.0,0.0,25053.0,0.8459850070912406,29614.0,2713.0,0.0839236551489467,0.0
40.0,3.0,96206138.02590623,57605771.08467566,73137.63337230342,0.9470991797859484,379.693590478009,550.0767961953322,2197.0,0.0,26925.0,0.8568837120488829,31422.0,7371.0,0.1900085066893511,0.0
50.0,3.0,105619777.74536388,57472392.10840737,61808.29290584133,0.8905429897790724,438.5079084746643,766.087856667318,3671.0,0.0,30254.0,0.7857569540035841,38503.0,13221.0,0.2556066816178176,0.0
100.0,3.0,115634844.38313729,55892025.59300527,67152.12230619708,1.0645123710119269,537.2460425697725,961.0265086603084,4559.0,0.0,29699.0,0.7232721250791486,41062.0,23593.0,0.3649060397494393,0.0
1.0,4.0,3233685.4832162373,1017900.3577665698,238368.07907470697,0.1018638964274537,0.0,0.0,0.0,0.0,0.0,0.0,1281.0,12.0,0.0092807424593967,0.0
10.0,4.0,3125580.3403590946,446776.2125140466,78740.31075927734,0.3396596842093965,0.0218579234972677,0.3925416868449347,8.0,0.0,10.0,0.0078064012490242,1282.0,11.0,0.008507347254447,0.0
15.0,4.0,4742059.249689441,2621895.603661217,45809.82520229367,0.2961486945866934,0.7662267080745342,5.005238782053623,78.0,0.0,1733.0,0.1345496894409938,12881.0,50.0,0.0038666769778052,0.0
20.0,4.0,28852771.20249545,20118590.107326195,58687.0950399587,0.500159079389802,55.260098778268784,104.89675938884076,506.0,0.0,13006.0,0.676163244086301,19235.0,161.0,0.0083006805526912,0.0
25.0,4.0,68687893.02958393,49888504.74039111,57731.472482657184,0.5855181098158982,203.7533222591362,311.1589383603266,1154.0,0.0,20341.0,0.8045008701154881,25284.0,578.0,0.0223493929317144,0.0
30.0,4.0,84894869.43249476,58010898.8682633,72161.80057419417,0.7622954035027415,293.97640505251206,431.5682251139251,1476.0,0.0,23870.0,0.8469344308827703,28184.0,4143.0,0.1281591239521143,0.0
40.0,4.0,97565365.44329897,58699960.62885131,72437.99602255817,0.9298702510418064,369.5900905254341,590.2864153411759,3444.0,0.0,26115.0,0.841306658934957,31041.0,7752.0,0.1998298662129765,0.0
50.0,4.0,104735072.5660699,56226349.15374406,66811.93125481039,0.9865861172980404,439.2829208514266,757.4483818274551,4241.0,0.0,29375.0,0.7825612062764739,37538.0,14186.0,0.2742633980357281,0.0
100.0,4.0,117511633.02019893,53634756.26148832,61883.19318462037,1.0026284703178796,522.3222773446728,950.5501884386144,4436.0,0.0,30939.0,0.7309000708717222,42330.0,22325.0,0.3452942541180109,0.0
1.0,5.0,3221945.1446442534,1134614.881325415,220465.1361502348,0.0940714668365462,0.0,0.0,0.0,0.0,0.0,0.0,1279.0,14.0,0.008275328692962,0.0
10.0,5.0,3063758.96168882,177391.81438676396,77291.6333179043,0.3334588931884752,0.0007818608287724,0.02795084117548,1.0,0.0,1.0,0.0007818608287724,1280.0,13.0,0.000541376643464,0.0
15.0,5.0,4777870.111258484,2700980.574913332,50210.74992940024,0.322447848415241,0.7110088164156979,4.771747042887417,78.0,0.0,1710.0,0.1334165561363813,12818.0,113.0,0.0087386899698399,0.0
20.0,5.0,29467305.20006231,20560771.36438108,57886.94000636837,0.4942810320563344,57.36678955293629,107.9966770672736,507.0,0.0,12955.0,0.6726725167454177,19260.0,136.0,0.0070117550010311,0.0
25.0,5.0,69211533.52629901,49787902.87000012,78874.51567900841,0.7773881493734744,201.57469020201617,309.9959240614977,1153.0,0.0,20106.0,0.8011316093556999,25098.0,764.0,0.0295414121104322,0.0
30.0,5.0,84758371.43936796,57741238.82425565,68198.39968915813,0.762176128977827,295.75310966180325,430.9087680029467,1425.0,0.0,25344.0,0.8520137161298998,29746.0,2581.0,0.0798403811055773,0.0
